"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"spatial_block_1000m",1,"Ordinary Kriging",0.743060551470407,0.0176203310528965,0.0109424468731078,0.0103549704627011,1000,"pruned_gpr"
"spatial_block_1000m",1,"Universal Kriging (env drift)",0.264687094171902,0.0429727453476707,0.0291965666277161,0.0262132715756962,1000,"pruned_gpr"
"spatial_block_1000m",1,"GAM",0.635429524261286,0.0283973582221084,0.0153851217860733,0.0121729646357767,1000,"pruned_gpr"
"spatial_block_1000m",1,"INLA",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",2,"Random Forest",0.0576422229117345,0.0311772466063155,0.0170747647894725,0.00695445596546168,1000,"pruned_gpr"
"spatial_block_1000m",2,"XGBoost",0.17879351482201,0.0327132309907262,0.0161075363180855,0.00848448657264855,1000,"pruned_gpr"
"spatial_block_1000m",2,"SVM",0.123358242951772,0.0293042974039002,0.012561466626371,0.000429593904334151,1000,"pruned_gpr"
"spatial_block_1000m",2,"Neural Network",0.14268560968516,0.0515041659925627,0.0254186925386916,0.0178531561259816,1000,"pruned_gpr"
"spatial_block_1000m",2,"GPR",0.267890158667474,0.030694090622349,0.0149495665802125,0.00756028431963319,1000,"pruned_gpr"
"spatial_block_1000m",2,"Ordinary Kriging",0.0820803550404609,0.058285177576716,0.0289143835414888,0.0245336687250599,1000,"pruned_gpr"
"spatial_block_1000m",2,"Universal Kriging (env drift)",0.00380833478121416,0.13216978214874,0.0657785014916416,0.0468453544528728,1000,"pruned_gpr"
"spatial_block_1000m",2,"GAM",0.111207979923515,0.0606894657038885,0.0261725611299852,0.0224099318183322,1000,"pruned_gpr"
"spatial_block_1000m",2,"INLA",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",3,"Random Forest",0.163998941438788,0.0220456208266077,0.0117459529621778,0.00549040406215911,1000,"pruned_gpr"
"spatial_block_1000m",3,"XGBoost",0.895686912224437,0.00776961265447122,0.00592846589928388,0.00250162759470601,1000,"pruned_gpr"
"spatial_block_1000m",3,"SVM",0.000428077699153491,0.023527807351809,0.0107441968233134,0.000368346195805551,1000,"pruned_gpr"
"spatial_block_1000m",3,"Neural Network",0.851365559452958,0.0103780686296223,0.00773465418197039,0.00410727715225518,1000,"pruned_gpr"
"spatial_block_1000m",3,"GPR",0.741562142579843,0.0140466139352339,0.00962210678579839,0.00522507298874358,1000,"pruned_gpr"
"spatial_block_1000m",3,"Ordinary Kriging",0.4553135296714,0.0188480230121947,0.0068728914958472,0.000125445808417441,1000,"pruned_gpr"
"spatial_block_1000m",3,"Universal Kriging (env drift)",0.304941546986685,0.0320817895640587,0.0173404179371629,-0.00576967052504927,1000,"pruned_gpr"
"spatial_block_1000m",3,"GAM",0.318560765823021,0.0198094110534865,0.00756575949415828,0.000371495777796188,1000,"pruned_gpr"
"spatial_block_1000m",3,"INLA",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",4,"Random Forest",0.0171417435522201,0.00996240614034492,0.00801595471330502,0.00219770838693693,1000,"pruned_gpr"
"spatial_block_1000m",4,"XGBoost",0.274936254536582,0.00709476713556224,0.0053530668490177,-0.0027246229454975,1000,"pruned_gpr"
"spatial_block_1000m",4,"SVM",0.0139990332288344,0.0084876057590183,0.00671594353605309,-0.00270363524672662,1000,"pruned_gpr"
"spatial_block_1000m",4,"Neural Network",0.160192349141255,0.0196706639043049,0.0112625048221332,-0.00657510078189508,1000,"pruned_gpr"
"spatial_block_1000m",4,"GPR",0.0458341298775198,0.00745243799359095,0.00557373238367252,-0.00187132689678654,1000,"pruned_gpr"
"spatial_block_1000m",4,"Ordinary Kriging",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",4,"Universal Kriging (env drift)",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",4,"GAM",0.296248847008074,0.00646235425471729,0.00472885416404542,-0.00104449530479155,1000,"pruned_gpr"
"spatial_block_1000m",4,"INLA",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",5,"Random Forest",0.415701606990379,0.0568920502244949,0.0316472371129008,-0.0259949529782692,1000,"pruned_gpr"
"spatial_block_1000m",5,"XGBoost",0.5213590228532,0.0493082053002553,0.0262404559019868,-0.0225216245593446,1000,"pruned_gpr"
"spatial_block_1000m",5,"SVM",0.130650548588742,0.0594635940859443,0.0326135556105699,-0.0303574207257497,1000,"pruned_gpr"
"spatial_block_1000m",5,"Neural Network",0.54000089111821,0.0496585835065855,0.0269151624788536,-0.0233066400764109,1000,"pruned_gpr"
"spatial_block_1000m",5,"GPR",0.489800456509391,0.050309998776356,0.0273211931602313,-0.0217342985085214,1000,"pruned_gpr"
"spatial_block_1000m",5,"Ordinary Kriging",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",5,"Universal Kriging (env drift)",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_1000m",5,"GAM",0.706631450989001,0.0486414777126869,0.025117872815409,-0.0232119743206704,1000,"pruned_gpr"
"spatial_block_1000m",5,"INLA",NA,NA,NA,NA,1000,"pruned_gpr"
"spatial_block_5000m",1,"Random Forest",0.855642443524073,0.0521604040339288,0.0250447930828565,-0.0212208869393415,5000,"all"
"spatial_block_5000m",1,"XGBoost",0.699746260222021,0.047873841169169,0.0249695973052344,-0.0211136574378312,5000,"all"
"spatial_block_5000m",1,"SVM",0.818638246970416,0.0491817313209728,0.0227019870406127,-0.0199724120648128,5000,"all"
"spatial_block_5000m",1,"Neural Network",0.109185685724994,0.0550961321202107,0.0374051394585494,-0.0215815653749838,5000,"all"
"spatial_block_5000m",1,"GPR",0.442338164634694,0.0508734412863465,0.0251582119435058,-0.0173404620834235,5000,"all"
"spatial_block_5000m",1,"Ordinary Kriging",0.697427204667148,0.0479952097228161,0.0234664659894008,-0.0175154692291482,5000,"all"
"spatial_block_5000m",1,"Universal Kriging (env drift)",0.10933611613576,60.6756204646837,29.6498379926364,6.02908982105396,5000,"all"
"spatial_block_5000m",1,"GAM",0.019891873159783,0.101885995813199,0.0294329819842579,-0.00390601050606134,5000,"all"
"spatial_block_5000m",1,"INLA",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",2,"Random Forest",0.0346966131556056,0.0333392206098577,0.0166907449073512,0.0023976526402659,5000,"all"
"spatial_block_5000m",2,"XGBoost",0.0719979057347039,0.0737419508838166,0.0358027279661197,0.0295574514697094,5000,"all"
"spatial_block_5000m",2,"SVM",0.0646376789696237,0.0745897412077757,0.0363979880445351,0.0294137224929704,5000,"all"
"spatial_block_5000m",2,"Neural Network",0.0543925337933689,0.0858012548755258,0.0495939008576073,0.0402925137557901,5000,"all"
"spatial_block_5000m",2,"GPR",0.00138235189855035,0.0337728368661074,0.0148937539003157,-0.000636018121935023,5000,"all"
"spatial_block_5000m",2,"Ordinary Kriging",0.0724323745137768,0.0594004731135635,0.0289697862675539,0.0229541710566695,5000,"all"
"spatial_block_5000m",2,"Universal Kriging (env drift)",4.1513866340656e-06,23666.1895614368,4576.45091820538,483.568561524048,5000,"all"
"spatial_block_5000m",2,"GAM",0.00818367096006684,0.149650084266876,0.0457882715475903,0.0366881643776621,5000,"all"
"spatial_block_5000m",2,"INLA",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",3,"Random Forest",0.0068998498894285,0.0210139254478167,0.0105593072243143,0.00360730041406384,5000,"all"
"spatial_block_5000m",3,"XGBoost",0.907151808209957,0.00941686816095982,0.00645693436102008,0.00300968818245723,5000,"all"
"spatial_block_5000m",3,"SVM",0.839111705796669,0.00866127429400962,0.00551340388059409,-0.00026258548379506,5000,"all"
"spatial_block_5000m",3,"Neural Network",0.853305680533038,0.0391829963442614,0.0114065856002211,0.00746259922689222,5000,"all"
