"kernel","n_features","feature_set","nug_min","nug_max","mean_r2","sd_r2","mean_rmse","sd_rmse","n_folds_valid"
"matern52",10,"10",1e-06,100,0.329071449525442,0.190943499497655,0.0339092122524129,0.0197433982384475,5
"gaussian",25,"all",1e-06,100,0.326281983328565,0.368971452324688,0.0281823986800686,0.0234393017522417,5
"matern52",25,"all",1e-06,10,0.315586766781923,0.364778063159505,0.0288943383675284,0.0250382802847402,5
"matern52",25,"25",1e-04,100,0.297857772859228,0.334128199142072,0.0282271930515057,0.0245206664438034,5
"matern52",25,"all",1e-06,100,0.292868291890102,0.337404827011497,0.0282554209006736,0.0235796753736745,5
"gaussian",10,"10",1e-06,100,0.286111487370101,0.144214800773542,0.0313109656045763,0.0182486325528657,5
"matern52",25,"all",1e-08,10,0.279005613897797,0.349190555509311,0.0278795114628122,0.0225795240769535,5
"matern52",25,"25",1e-08,10,0.275571906549034,0.293400597678832,0.02890119135271,0.0228002595143487,5
"matern52",25,"25",1e-08,100,0.257132761614494,0.355906919955149,0.0276002492351541,0.0234223119348441,5
"matern52",25,"all",1e-04,100,0.253391442849418,0.348458347767876,0.028279867209803,0.0235316245376743,5
"matern32",25,"25",1e-06,10,0.25231071842989,0.298020196129501,0.0251538819733625,0.0211720297750988,5
"matern52",25,"all",1e-04,10,0.25037355957473,0.359758416838352,0.0284340938804364,0.023957914643706,5
"matern32",25,"all",1e-04,10,0.249881985708664,0.377694961450906,0.0275410512987,0.0241744916247452,5
"gaussian",25,"25",1e-08,10,0.248406541117917,0.365068498057193,0.0302220116905922,0.0268397214923504,5
"matern32",25,"25",1e-04,10,0.239696379446499,0.360676240821224,0.0287645930231199,0.0241889712359426,5
"gaussian",25,"all",1e-04,10,0.235090502344967,0.360971889671992,0.0285655823262993,0.0237556611151165,5
"matern52",25,"all",1e-08,100,0.233085911347254,0.18730497308584,0.0325181095256285,0.0187689381239522,5
"matern32",25,"all",1e-06,10,0.22827907342568,0.32429732813493,0.028959598101144,0.0238880846635035,5
"gaussian",25,"25",1e-06,10,0.218999269605674,0.370786107805572,0.0289153621234003,0.0237548220919705,5
"gaussian",25,"25",1e-04,100,0.21412070945574,0.356528650708883,0.0285382972923237,0.0237475779668301,5
"matern52",25,"25",1e-06,10,0.200777832336211,0.301331935204383,0.0287388578703808,0.0219313212199653,5
"matern52",25,"25",1e-04,10,0.191516033046873,0.324015679571528,0.0313446476785473,0.0252909018332011,5
"matern32",25,"all",1e-08,10,0.184030371207193,0.0844587194878106,0.0302265580967278,0.023193197988407,5
"matern32",25,"all",1e-04,100,0.14060566726181,0.162958603650005,0.037053662998298,0.0203574027558654,5
"gaussian",25,"25",1e-04,10,0.140400352020258,0.198314672432117,0.0300330166432357,0.0211865016595395,5
"gaussian",25,"all",1e-08,10,0.118920595564994,0.150298038762584,0.0262829989558012,0.0198916403408171,5
"gaussian",25,"25",1e-08,100,0.102459284041115,0.148172274183176,0.0302853350183613,0.0210115946157425,5
"gaussian",25,"all",1e-08,100,0.0897064129089495,0.116892535772029,0.0300908839167082,0.0214415448933043,5
"matern32",25,"all",1e-06,100,0.0845565160522054,0.0747988300625785,0.0299974729429185,0.022178800154726,5
"matern32",25,"25",1e-06,100,0.0778530253691188,0.0451267427592219,0.0322926614143703,0.0249255602557347,5
"gaussian",25,"25",1e-06,100,0.0689098247117392,0.0661104493181967,0.03140535249397,0.0232301427158786,5
"matern32",25,"25",1e-08,100,0.066780262275772,0.053512856404858,0.0300183329344275,0.0221034117692677,5
"gaussian",25,"all",1e-04,100,0.0547636151375145,0.0617972008667918,0.0307926860333856,0.0224953262549262,5
"gaussian",25,"all",1e-06,10,0.049371256300936,0.0688259708503438,0.0295328944066778,0.0208421097014427,5
