"method","model","predictor_set","n_folds","mean_r2","sd_r2","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_bias","sd_bias"
"spatial_block_1e+05m","Random Forest","all",5,0.100717800970235,0.06289784193949,0.0267994744391777,0.0194847836139937,0.0164637139060669,0.0089179516331419,0.000488382983663124,0.0146435889290249
"spatial_block_1e+05m","Random Forest","pruned_gpr",5,0.120121229970769,0.0889024050242453,0.0268352868104134,0.0193251466413582,0.0167597973929328,0.00913203299636233,0.000463138114666232,0.0146540230902659
"spatial_block_1e+05m","SVM","all",5,0.137383671555632,0.148528567443042,0.0325928643463862,0.0229515299990009,0.0186979174378612,0.0104334440648218,0.00464534160135158,0.0148560100167329
"spatial_block_1e+05m","SVM","pruned_gpr",5,0.066778738742818,0.074977874887933,0.0260968560299163,0.0198227840292257,0.0143177269450289,0.00946316697274416,-0.00568684022513866,0.0127735022850064
"spatial_block_1e+05m","Universal Kriging (env drift)","all",5,0.0100600748481822,0.0142192077796248,242.434924803555,239.900888670669,84.9123781915941,93.6030584160627,-48.8222096446743,53.3220707391
"spatial_block_1e+05m","Universal Kriging (env drift)","pruned_gpr",5,0.0221308491681407,0.0234392751935006,0.0437638394160814,0.0362161392305775,0.0326711458073007,0.0286899675486075,0.0163677948218949,0.0236440863962445
"spatial_block_1e+05m","XGBoost","all",5,0.244660421651284,0.222822070393787,0.0290062565882152,0.0199280414322089,0.017159073318319,0.0113218496277379,0.0018805920349097,0.0162985114643295
"spatial_block_1e+05m","XGBoost","pruned_gpr",5,0.304363143715124,0.177388934469258,0.0350045310913142,0.0282586885174701,0.0208796861991384,0.020000666329316,0.00685938137925935,0.0254081058036352
"spatial_block_25000m","GAM","all",5,0.157119654794323,0.298573720156592,4.3421900396668,9.64772165268348,0.688516515044475,1.50524521323748,0.677352976267446,1.50589322932783
"spatial_block_25000m","GAM","pruned_gpr",5,0.132404129488419,0.166627532845199,0.081000107573902,0.116959634338258,0.0490757209917904,0.0742543545866172,0.0384331039193788,0.0784990375238347
"spatial_block_25000m","GPR","all",5,0.00582044394607807,0.0110831105821898,0.0279506326550733,0.0233288739065592,0.0175232296038116,0.0115916535596566,-0.00232122106103217,0.0184474457126027
